id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Sunwave,pop,happy,0.78,116,0.88,0.76,0.20
12,Shatter,Ironclad,rock,intense,0.95,162,0.35,0.58,0.06
13,Neon Jungle,CityGrid,electronic,energetic,0.89,140,0.67,0.91,0.04
14,Slow Burn,Ember Roads,indie pop,melancholy,0.45,95,0.42,0.55,0.62
15,Desert Wind,Cactus Theory,country,relaxed,0.50,104,0.73,0.64,0.77
16,Rain on Glass,Still Lake,ambient,sad,0.22,55,0.30,0.35,0.95
17,Funk Machine,The Groovelines,funk,energetic,0.84,126,0.82,0.92,0.12
18,Blue Note Alley,Miles Blue,jazz,moody,0.43,96,0.55,0.50,0.80
19,Voltage Spike,Voltline,rock,intense,0.88,148,0.44,0.63,0.08
20,Daydream Drift,Paper Lanterns,lofi,relaxed,0.33,70,0.64,0.56,0.88
